Tonga , 114689 , 2200 , 252315800 , 98.5 , 97.7
Trinidad & Tobago , 1065842 , 9500 , 10125499000 , 98.6 , 303.5
Tunisia , 10175014 , 6900 , 70207596600 , 74.2 , 123.6
Turkey , 70413958 , 6700 , 471773518600 , 86.5 , 269.5
Turkmenistan , 5042920 , 5800 , 29248936000 , 98.0 , 74.6
Turks & Caicos Is , 21152 , 9600 , 203059200 , 98.0 , 269.5
Tuvalu , 11810 , 1100 , 12991000 , 82.8 , 59.3
Uganda , 28195754 , 1400 , 39474055600 , 69.9 , 3.6
Ukraine , 46710816 , 5400 , 252238406400 , 99.7 , 259.9
United Arab Emirates , 2602713 , 23200 , 60382941600 , 77.9 , 475.3
United Kingdom , 60609153 , 27700 , 1678873538100 , 99.0 , 543.5
United States , 298444215 , 37800 , 11281191327000 , 97.0 , 898.0
Uruguay , 3431932 , 12800 , 43928729600 , 98.0 , 291.4
Uzbekistan , 27307134 , 1700 , 46422127800 , 99.3 , 62.9
Vanuatu , 208869 , 2900 , 605720100 , 53.0 , 32.6
Venezuela , 25730435 , 4800 , 123506088000 , 93.4 , 140.1
Vietnam , 84402966 , 2500 , 211007415000 , 90.3 , 187.7
Virgin Islands , 108605 , 17200 , 1868006000 , 82.8 , 652.8
Wallis and Futuna , 16025 , 3700 , 59292500 , 50.0 , 118.6
West Bank , 2460492 , 800 , 1968393600 , 82.8 , 145.2
Yemen , 21456188 , 800 , 17164950400 , 50.2 , 37.2
Zambia , 11502010 , 800 , 9201608000 , 80.6 , 8.2
Zimbabwe , 12236805 , 1900 , 23249929500 , 90.7 , 26.8
